Date,Time,Open,High,Low,Close
20120123,00:00:00,1315.4,1322.0,1309.9,1316.0
20120124,00:00:00,1316.0,1316.0,1306.2,1314.7
20120125,00:00:00,1314.7,1328.3,1307.8,1326.1
20120126,00:00:00,1326.1,1333.5,1313.7,1318.4
20120127,00:00:00,1318.4,1320.1,1311.7,1319.3
20120130,00:00:00,1316.3,1316.3,1300.5,1313.0
20120131,00:00:00,1313.0,1321.3,1306.7,1312.4
20120201,00:00:00,1312.4,1330.5,1312.4,1324.1
20120202,00:00:00,1324.1,1329.2,1321.6,1325.5
20120203,00:00:00,1325.5,1345.3,1325.5,1344.9
20120206,00:00:00,1344.9,1344.9,1337.5,1344.3
20120207,00:00:00,1344.3,1349.2,1335.9,1347.0
20120208,00:00:00,1347.0,1351.0,1342.1,1350.0
20120209,00:00:00,1350.0,1354.2,1344.6,1352.0
20120210,00:00:00,1352.0,1352.0,1337.3,1342.6
20120213,00:00:00,1342.6,1353.3,1342.6,1351.8
20120214,00:00:00,1351.8,1351.8,1340.8,1350.5
20120215,00:00:00,1350.5,1355.9,1340.8,1343.2
20120216,00:00:00,1343.2,1359.0,1341.2,1358.0
20120217,00:00:00,1358.0,1363.4,1357.2,1361.2
20120221,00:00:00,1363.4,1367.8,1358.1,1362.2
20120222,00:00:00,1362.2,1362.7,1355.5,1357.7
20120223,00:00:00,1357.7,1364.2,1352.3,1363.5
20120224,00:00:00,1363.5,1368.9,1363.5,1365.7
20120227,00:00:00,1365.7,1371.9,1355.0,1367.6
20120228,00:00:00,1367.6,1373.1,1366.0,1372.2
20120229,00:00:00,1372.2,1378.0,1364.5,1365.7
20120301,00:00:00,1365.7,1376.2,1365.7,1374.1
20120302,00:00:00,1374.1,1374.5,1366.4,1369.6
20120305,00:00:00,1369.6,1369.6,1359.1,1364.3
20120306,00:00:00,1364.3,1364.3,1340.0,1343.4
20120307,00:00:00,1343.4,1354.8,1343.4,1352.6
20120308,00:00:00,1352.6,1368.7,1352.6,1365.9
20120309,00:00:00,1365.9,1374.8,1365.9,1370.9
20120312,00:00:00,1370.9,1373.0,1366.7,1371.1
20120313,00:00:00,1371.1,1396.1,1371.1,1396.0
20120315,00:00:00,1394.3,1402.6,1392.8,1402.6
20120316,00:00:00,1402.5,1405.9,1401.5,1404.2
20120319,00:00:00,1404.2,1414.0,1402.4,1409.8
20120320,00:00:00,1409.8,1409.8,1397.7,1405.5
20120321,00:00:00,1405.5,1407.8,1400.6,1402.9
20120322,00:00:00,1402.9,1402.9,1388.8,1392.8
20120323,00:00:00,1392.8,1399.2,1386.9,1397.1
20120326,00:00:00,1397.1,1416.6,1397.1,1416.5
20120327,00:00:00,1416.5,1419.2,1412.0,1412.5
20120328,00:00:00,1412.5,1413.7,1397.2,1405.5
20120329,00:00:00,1405.5,1405.5,1391.6,1403.3
20120330,00:00:00,1403.3,1410.9,1401.4,1408.5
20120402,00:00:00,1408.5,1422.4,1404.5,1419.0
20120403,00:00:00,1419.0,1419.0,1404.7,1413.4
20120404,00:00:00,1413.4,1413.4,1394.1,1399.0
20120405,00:00:00,1399.0,1401.6,1392.9,1398.1
20120409,00:00:00,1397.5,1397.5,1378.2,1382.2
20120410,00:00:00,1382.2,1383.0,1357.4,1358.6
20120411,00:00:00,1358.6,1374.7,1358.6,1368.7
20120412,00:00:00,1368.7,1388.1,1368.7,1387.6
20120413,00:00:00,1387.6,1387.6,1369.8,1370.3
20120416,00:00:00,1370.3,1379.7,1365.5,1369.6
20120417,00:00:00,1369.6,1392.8,1369.6,1390.8
20120418,00:00:00,1390.8,1390.8,1383.3,1385.1
20120419,00:00:00,1385.1,1390.5,1370.3,1376.9
20120420,00:00:00,1376.9,1387.4,1376.9,1378.5
20120423,00:00:00,1378.5,1378.5,1358.8,1366.9
20120424,00:00:00,1366.9,1375.6,1366.9,1372.0
20120425,00:00:00,1372.0,1391.4,1372.0,1390.7
20120426,00:00:00,1390.7,1402.1,1387.3,1400.0
